;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
750.9s : 277.180m/z;86447;100656;257585;117640;378579;93162;150453;132814;146709;266317;254110;264104;204848;90365;136056;124814;121032;125106;179937;116692;280829;100530;223463;156897;118880;118607;264304;171789;322384;221529;209103;139668;263383;237808;149895;86782;91105;171558;245834;326993;254748;149939;342818;200127;131241;116579;741908;761678;123691;217551;186021;257434;384498;266165;171972;201831;94507;405134;200448;97181;377588;273071;219853;88938;216545;158648;94448;116945;264055;186859;370242;161522;170112;318813;97679;149752;139821;355682;204116;164404;274568;195386;154965;139398;195837;106410;212418;158289;120766;148535;367719;112942;95284;344366;228414;114175
773.8s : 301.141m/z;217913;239774;207288;234308;330988;161295;219382;145509;219821;236668;183653;199613;201486;202042;189010;180908;199789;211407;224407;223267;190963;186256;189951;222650;226666;213792;280161;219428;252668;182424;201368;242285;169122;216131;200362;216761;218611;207721;175870;180033;184083;229834;215649;216193;221105;223276;248281;279236;173216;187213;230269;194816;233397;201102;205733;199381;216687;212534;227594;204437;188396;229984;202770;153065;167328;205594;185719;173164;201309;192322;211397;218093;154243;208316;197890;222657;177610;196914;168816;195592;222802;189211;203346;162452;203426;228228;218357;178584;178478;144300;197116;168822;209265;239168;134356;227762
773.8s : 579.291m/z;207059;271440;189808;250524;412632;145287;232175;121053;217542;263828;197294;228389;226802;207338;184591;158182;208349;228812;232325;257696;180397;170127;163864;199091;230208;206904;330735;235419;294595;163047;198134;264518;143760;234217;215071;215627;244869;199964;166475;192139;186246;239427;239514;236354;231500;228066;253957;319000;162847;161241;234166;196136;241941;235474;225650;217097;236871;216886;270245;193145;203863;271872;201764;120146;162164;217075;188739;174597;202612;213491;211324;237379;141053;205557;170043;242876;167035;191368;167712;207933;241458;185278;192959;157558;202961;254560;236599;167715;189637;123353;181169;172121;210876;261182;0;255192
773.9s : 279.159m/z;1501657;2873464;1425782;2242811;4001758;1057665;2200088;781264;1824162;2359788;1993259;2560451;2483158;1838346;1449126;1138372;1807593;2006554;2162353;2499042;1295893;1158570;1127823;1454468;1813518;1626951;3056557;2094295;3099810;1266127;1461654;2594422;952211;2063795;2052915;1651485;2351022;1539682;1262478;1786682;1441847;1948465;2213943;2310969;1936646;2027819;1977384;3188697;1197084;1080894;1958542;1667777;2045368;2643168;1918021;2075523;2148265;1879682;2953684;1502958;2271398;2942953;1567917;735110;1252842;2167959;1653126;1475007;1519702;2117340;1765253;2198667;1021390;1668254;1020880;2277132;1313021;1525945;1437742;2049213;2251916;1436843;1557624;1300632;1604714;2446087;2049834;1255328;1709270;793608;1326218;1521798;1883378;2558626;919617;2346126
773.9s : 149.023m/z;813369;1636695;802229;1199914;1986871;557274;1187124;417842;1002744;1263906;1093346;1446622;1410426;990772;762672;604402;976773;1087929;1210772;1394046;715720;636266;588216;839170;1036243;856906;1557277;1118321;1639822;657282;768988;1438354;507077;1087448;1066981;893594;1249890;884452;667577;961428;747782;1082129;1198628;1238222;1048440;1122449;998208;1678506;639540;604187;1062683;874852;1187729;1411780;1054137;1151977;1116777;1078420;1552019;798849;1228384;1603011;836021;405448;659688;1176067;858873;778447;833208;1179644;976691;1205664;561903;891462;539456;1251779;706276;828055;769868;1113370;1210101;778777;847071;699434;884404;1361447;1118166;667178;907331;437123;738665;839481;1000830;1409837;508824;1303753
773.9s : 205.086m/z;1106892;2218708;1069091;1658935;2906768;779404;1646177;584626;1343828;1722830;1497806;1961478;1914453;1354937;1062898;849089;1300963;1466116;1582816;1848649;950827;855354;843779;1101023;1354988;1222547;2169221;1563716;2265098;959166;1048677;1940115;692566;1528357;1531212;1203572;1765630;1173475;936095;1341697;1073662;1419328;1674949;1684383;1426837;1574548;1440554;2382721;900377;826066;1438417;1230374;1618085;1989204;1431060;1573433;1561954;1453095;2191058;1102908;1713461;2195083;1136673;548495;909179;1623472;1236548;1082931;1136704;1613166;1309519;1614658;743467;1186748;748612;1636354;996932;1127529;1044975;1531338;1602145;1066466;1150690;957598;1176220;1807183;1496632;940385;1263924;586226;995983;1145040;1379063;1899041;681120;1738163
835.2s : 199.169m/z;157578;353585;154958;319652;369442;136017;224812;147305;160925;262944;267832;248142;256796;237018;217016;204023;250041;303356;316891;328072;117273;130142;157109;175547;240267;238165;274157;242994;325692;228640;247423;295403;158918;259655;302070;262496;231697;253431;221918;226201;205421;298757;252697;265389;265604;207680;347891;389997;217022;221063;336611;283384;249426;256110;286226;243282;145111;287673;373893;168023;215905;341842;160627;103405;164366;285947;148122;119496;302323;261255;239609;208678;145335;236603;146087;281677;156320;220461;183429;210960;290419;223154;210330;212918;224794;223932;322389;235685;241710;69095;245459;190210;201823;328150;179954;122120
908.9s : 229.216m/z;168061;124177;122441;138924;170860;135776;113249;136102;133096;124963;133964;115066;108865;123193;111919;105257;110487;117329;128057;126594;119938;132828;149634;104295;120777;128528;166335;132607;160922;144588;125978;118578;153744;124348;152943;111219;115816;124841;128578;125833;117365;110094;108998;125262;107785;105811;113445;132708;132486;104802;124249;123668;118031;140012;142986;119348;124695;116352;138989;124413;156512;132068;140018;125533;140152;133187;138410;124610;123633;132884;119141;120221;106799;115487;132320;111418;144371;123056;112605;155708;114605;121244;120037;113586;108711;115822;117702;129978;140104;88890;97513;111440;102594;125211;99233;122361
954.8s : 601.372m/z;356530;350681;146918;431205;327556;345850;308123;296276;212532;196310;178930;201836;181641;295956;307081;258579;227819;283605;188669;263075;146006;291270;234046;212499;278666;311439;261337;272810;322202;273531;256344;263037;197209;230573;337329;359280;288919;244602;236850;246523;229452;239186;184139;228292;265945;284978;159330;174576;348178;197055;252880;226241;267301;267724;249867;185838;319387;199512;214335;291130;323479;228956;178437;317059;241354;269691;389809;263748;191050;251339;156541;241073;179288;160210;335324;247249;274494;160088;154209;330945;171109;209528;250579;293408;216549;278360;207631;246247;304325;194175;140895;291176;277763;163441;127478;265213
954.8s : 657.434m/z;385653;376314;157765;480247;358964;383953;336794;326189;233310;214959;197101;223575;199840;322067;320479;269086;245418;302023;198862;288870;153748;316122;259175;230235;304172;327767;284149;297615;352275;305057;279861;286205;214417;248792;376172;384482;318601;259449;264508;271775;246012;255981;194085;258166;281896;296607;173171;191878;378366;206763;266348;249580;287557;305278;271745;205145;354605;216447;224506;316737;348428;249934;190375;344322;273850;289514;434464;286693;204240;278368;168110;262997;198202;181276;368095;269519;307931;179805;163539;363430;182897;225538;274726;322880;231578;295447;227572;276632;336108;214313;158477;321238;306148;176180;136270;286412
1003.5s : 297.278m/z;191370;272381;218878;286327;361584;297521;218912;260796;235824;244227;247338;216436;196807;204369;198817;166619;219034;233896;205527;260506;237363;281483;278766;170179;238218;245329;328685;257939;332661;244995;242669;234015;270282;236214;305624;209086;264299;218616;214765;225897;209460;184653;189046;252690;198430;189847;200949;191164;226033;182581;247874;224198;202748;235241;249153;197367;255099;213570;247876;269767;248189;264778;245556;229120;323626;251507;319230;253644;228940;272302;240589;229400;132653;203207;279697;222802;303850;228275;176434;290087;227842;210711;217021;226380;193826;237984;234540;234566;269035;149280;185641;193944;196225;240036;166197;263293
1005.0s : 257.247m/z;656639;469068;456315;534577;601030;511592;479715;521396;484996;434866;473089;408529;391595;465452;441922;419067;413299;435710;457380;461130;478577;513776;577334;375934;481586;503446;548941;530044;560685;493945;475974;435076;517934;468068;605997;426214;473070;453841;501260;491228;431269;420684;396644;455912;414617;417706;414530;457487;520567;415056;468173;490309;429917;505337;476241;410483;471149;426133;514851;468595;537567;493570;498563;481379;510681;485985;544570;468449;502717;464709;467623;437708;363170;428871;503597;416399;556999;476954;362264;547643;446327;459042;472149;420877;441320;441614;430722;483020;531324;380493;366365;421673;411768;478937;359226;500881
1005.0s : 239.237m/z;409715;370662;375183;415700;469132;411364;378818;410725;385449;350725;374124;314930;299733;376178;341562;330038;338211;347044;342569;366538;374430;411908;457673;285460;379739;388884;438416;412064;438478;385940;378670;333130;408389;367512;461976;349793;374166;353329;391895;373457;327878;329269;305821;362453;314148;332480;329846;349379;405051;318929;377880;389343;324422;396397;363542;313907;375545;328418;412816;388307;422684;390188;408018;373199;399725;380104;434843;362491;398056;367449;371935;346866;290163;346171;400532;334158;436940;382601;292340;434189;353606;357192;379269;342730;350140;340303;347880;388326;412983;308231;294280;325998;329356;375228;279514;399595
1014.4s : 284.294m/z;249194;139101;142722;124738;209592;71930;139143;103519;108644;80230;303658;105470;172827;99569;100433;104789;222612;99618;84143;84735;96282;114941;174097;142681;83329;164279;156260;89613;154887;70611;126900;99208;149747;102891;91910;86329;1788708;99867;95756;89938;154347;103285;117838;158710;105238;120351;172530;104276;117499;149115;92748;115568;138740;96348;190999;99820;96419;181786;90629;96426;96939;169395;119789;155923;131994;102598;170788;274907;150452;89536;149721;117297;134725;82270;165464;92407;85960;112466;98008;90239;83243;117234;118687;93019;135700;397349;87980;111074;80438;210688;97867;93271;149154;87330;83626;163905
1045.4s : 225.257m/z;75642;165248;176194;181105;172171;169668;135375;172338;178129;153165;134480;117882;116409;135967;135920;109345;142808;159817;148811;157152;180649;176400;208389;110629;145131;166112;161877;157744;140942;138379;141603;141360;186685;152917;171292;152136;132524;139223;147642;133515;129483;143172;133854;138175;139527;132393;183078;195004;148595;142148;172551;142207;144928;132584;136089;120306;158267;150884;169148;176415;120320;167859;192145;169820;169740;144986;168128;138331;165574;130800;148967;140085;90121;145862;180490;140466;176232;154981;115150;156271;148569;149064;142868;128423;146836;135434;165881;148122;146289;107972;147284;113479;133356;163245;125459;160779
1057.6s : 363.274m/z;288651;454712;355808;385097;398464;562719;302936;459421;451819;334189;252763;266652;243691;412604;336474;271076;252049;352572;336061;436312;278128;476253;362066;250799;457770;519020;428196;447696;309684;377625;301850;379897;370143;354165;503613;421578;424407;382191;318681;271898;263784;329572;202514;330858;349410;328565;119426;134706;367409;282095;352056;305581;255980;303965;368117;273260;377684;191361;369997;495732;285997;285639;397439;486256;371539;393584;566546;379452;279805;385857;242731;338260;230068;235199;486044;336785;488544;243588;251773;521172;263606;346172;339456;312554;302109;350023;312447;413527;474405;190822;207955;253421;331162;256565;187854;404719
1057.7s : 345.263m/z;1110110;1324816;983105;1085174;1239916;1690449;818784;1350020;1318370;931693;715738;740924;690660;1133042;935467;703740;673577;987210;906001;1351701;854879;1575754;979717;679816;1312707;1480916;1295972;1263454;919769;1061304;871039;1071631;1003063;993623;1469144;1185600;1285591;1062449;861448;740161;756323;921517;549762;969084;983648;910611;299824;341642;996436;762417;1021497;840797;690389;832553;1077669;782932;1118991;506982;1084644;1491970;774072;776571;1156089;1388135;1099618;1088080;1632432;1117616;757528;1142837;710482;973253;637146;666150;1417091;990155;1420044;663845;705020;1497791;766496;936100;942670;892948;808400;1034544;908067;1138680;1369116;518574;569607;713594;943658;737295;525398;1229957
524.2s : 245.078m/z;163926;198426;147768;202955;301814;117115;169308;118367;154243;200624;166610;156597;173055;177447;147260;153751;181308;193276;182519;190124;122502;116347;169219;148963;169959;151817;224980;185290;238782;159319;174120;203935;157358;177857;193811;172332;171909;176842;147245;144289;157204;185768;176979;183326;176025;155168;222118;225941;152624;150148;191744;165390;172960;164023;189865;167230;148631;209330;200733;140437;151123;211958;156867;114404;138242;172517;123478;125086;180773;172005;166002;156270;145440;188288;150680;182116;134126;146719;143912;135091;195703;148597;147232;147960;167921;180085;195121;150273;174381;0;158295;138437;140834;214558;93316;115725
603.8s : 249.133m/z;108978;189134;145327;156498;195350;219316;120092;194688;194171;157315;130154;138262;102875;147149;137869;124447;112208;150948;132773;192415;157555;233320;181439;125951;198516;218630;204113;186584;147289;216086;143121;153065;180749;164736;225668;170727;158166;170640;167591;139886;122208;139251;105619;143965;154406;137508;84085;88241;160568;135605;161455;148611;117448;135609;163568;127653;172774;94580;159435;216241;147979;133893;183223;199376;175654;162618;219235;168750;137282;174594;136777;159212;122763;135060;232569;152882;221980;121197;142467;209201;145338;164599;157488;141932;147420;151883;146150;188670;201876;0;101376;113038;137607;126246;0;184417
761.9s : 259.190m/z;740847;1470251;423958;709172;2295511;147006;665417;145264;763292;848757;520663;796989;1149725;943700;529456;359790;515843;712999;650903;807890;409390;287609;204917;499501;896693;554602;1321673;771430;1926961;397618;416568;1741251;134751;616063;632038;451775;803117;846373;445796;527337;484373;786295;1096886;549219;479578;688342;719007;1235108;385521;396641;519721;392833;519766;986608;471335;651994;587806;563182;1443547;245343;636052;1257814;482303;125128;236427;680043;325980;167411;402636;971273;615932;996302;234984;516523;106509;1036716;155805;560905;514016;861156;1055242;515606;505373;378333;573938;1314616;666362;429293;936754;0;432251;628816;798143;1295264;323339;418657
761.9s : 185.117m/z;511280;1115241;294469;491630;1681412;98985;457167;96562;543182;587951;355139;596172;839396;668610;348028;242946;352188;489280;463742;554461;268086;187190;124585;342519;643546;365857;953989;522743;1418487;263633;289250;1251210;85242;420876;431338;292948;545332;631048;297361;357272;338001;522237;774283;381471;310145;479759;460757;828825;259862;272853;335315;256556;354046;693528;338473;472668;389815;428076;1009451;163305;450577;921060;322881;77931;161143;463256;210077;106043;280014;703897;426233;688196;155169;330258;66162;701639;104047;382390;361806;603841;712384;351994;352400;260766;393373;935444;449531;283500;660651;0;282819;436706;556548;893947;226820;269170
835.2s : 111.117m/z;102614;233674;98080;207507;233964;90412;147857;92578;99247;174530;182996;168304;173207;154849;142116;122947;165643;200379;211078;219979;75498;79796;95597;111574;162142;144821;184493;146012;209837;143218;162607;187813;104041;169133;191694;176439;150541;167648;139406;143333;136560;191918;156193;177503;168690;131799;212371;251680;141793;143370;207633;171332;163749;163755;192158;156052;83954;188503;245450;98105;142363;220740;97206;64163;108417;193869;90448;79877;195817;174965;151534;135775;97472;151772;95720;187980;91526;142494;120949;147699;183968;142422;140010;136290;144261;141335;207699;149477;150478;0;159815;126694;129798;216113;115156;76956
1037.3s : 298.310m/z;0;117253;110640;112834;145553;110942;97667;109865;118869;117724;100604;103974;93872;90637;89419;78399;96890;104198;104725;109964;116965;121044;127413;96601;115963;110012;131337;110931;130670;106489;108921;107987;128725;111062;127779;104031;99723;108757;103384;111680;100354;96152;98309;99707;101902;93448;126803;133617;96275;97556;114956;102628;107237;108881;105876;88812;113836;105748;122962;113076;118567;117485;127992;101192;133915;108565;113433;109533;111858;106283;112971;109133;73462;111160;110768;105834;115550;102035;76612;123932;109179;100317;102517;95765;105000;105478;109173;103750;111519;0;103652;90857;94358;118874;79327;113198
954.7s : 674.461m/z;236839;253718;136896;281766;180598;238135;223703;213702;187262;168214;140464;98161;146135;228016;226099;208935;185220;223324;166001;212561;132238;230881;198305;187938;226649;229776;160217;204733;184340;197219;162763;219756;172988;189042;240726;260657;166170;199427;186928;189856;146876;209981;153070;158833;216275;221664;144449;158494;238972;166661;213209;178760;211727;199011;171117;116178;255009;173581;182412;241087;218178;194633;165996;241751;168450;203100;265217;177810;159901;166172;139519;197313;135168;0;236678;202369;213017;143501;0;228582;148084;180446;196349;204529;178370;212109;183873;204486;226106;150502;136406;190941;221334;148763;0;210497
1004.9s : 395.220m/z;85337;76987;79616;76700;64883;64148;71978;65736;80638;82203;57543;50410;57786;66523;68710;68179;75565;74616;75741;81218;81136;82100;80426;79169;80638;80136;58828;63812;57173;65755;57603;78132;76918;76434;69245;79589;51868;77558;65064;68007;50402;80172;66716;53280;79480;71317;77950;86097;65304;72577;84604;64979;67738;63759;56135;0;78369;76075;79791;77844;63719;70321;82713;77447;55637;67847;66551;50543;77049;56521;76125;78628;55235;78581;71571;79884;68595;72575;0;66200;81270;71222;73476;48992;74285;78582;81120;66439;64468;51718;72453;53767;73705;82401;45938;81400
129.8s : 114.091m/z;256900;88388;158937;116648;186927;144885;121733;131329;144278;70144;106532;141767;152418;149308;85385;142492;89358;82995;82676;71396;131653;118547;191872;75934;61486;72753;109993;87238;118443;86897;152199;73234;169454;95906;96879;72746;259203;77701;77199;90306;148149;79041;99930;84038;92314;0;76789;79546;108840;70469;86443;96638;135213;111406;96594;126923;187514;89546;90339;184722;128610;95515;154550;147789;235651;95815;150656;300555;100846;114933;79817;65691;139266;69961;159467;68044;169769;79540;94540;82854;73178;75752;80875;94205;70586;62363;89569;89655;93099;218503;74447;149810;79544;80777;102808;163336
860.0s : 377.326m/z;0;62559;63224;64595;82344;59209;52478;60009;64667;61568;56561;56998;47948;49487;53253;49498;79883;60801;61773;65233;82278;62404;76597;51111;60429;69497;81317;64454;71734;75838;56211;58148;79929;82526;71085;54985;52650;66803;67636;72389;54798;52926;0;59965;54211;55685;62776;65378;57961;60921;63403;61125;72273;67064;56314;54807;78133;63482;65435;63500;93909;69828;68871;57388;66615;57293;63277;53943;61677;57026;65680;57234;52403;58458;60813;61064;66001;65463;48662;67757;59983;59968;60920;53223;67018;57680;57663;62768;60497;0;57179;50826;65427;61857;0;65152
284.4s : 163.133m/z;305427;131220;272836;144192;262064;355873;120450;272500;253867;120993;196049;202495;181458;205136;130132;180101;187253;137548;115286;117698;299752;271181;341058;154204;151485;130258;234115;151139;257016;176212;264076;113096;320834;123810;199536;162316;268654;119344;156252;141034;269497;147789;0;214349;152610;134404;78604;82333;189733;141726;143746;141090;90709;144795;217602;208988;394365;171861;154045;315333;166208;172689;318124;328168;443264;151434;393248;437053;133779;231955;0;113740;248989;121482;366466;103268;353569;0;173480;142319;122359;0;99417;211913;149017;118069;133065;141928;187498;289549;0;250412;107770;143834;194824;264381
718.2s : 249.185m/z;0;103156;127664;112870;131436;123770;87718;119125;123527;113131;96323;96976;78295;92323;94699;87574;102045;105542;93905;97407;125712;125982;153604;0;106718;118623;122521;110770;119937;132694;109990;98490;188527;111245;132964;100519;93808;108918;112768;138821;97248;97549;107981;99104;98643;87924;136735;130538;104916;98822;116042;105442;102161;111498;102736;103440;118701;108206;106368;124151;119338;109374;136511;120427;139302;102795;119639;109448;114038;106243;114074;97784;81634;108656;126294;97509;127898;114522;94385;108711;105889;105158;107914;96653;99927;86967;104385;114457;117384;0;104547;83036;86470;112498;77701;112782
855.9s : 333.300m/z;0;71588;65704;61978;88100;62794;53545;65797;71008;65701;62634;58709;54307;51995;52504;0;53618;59096;60801;65437;72315;66952;78172;53311;65801;63880;84958;67474;76786;72215;59370;64615;79092;64280;73431;57404;57009;60240;62308;67528;56267;56012;59946;58606;56538;54343;74011;78555;60717;52895;67543;58635;63309;64712;63949;54298;67699;60469;69732;66666;82122;67735;77907;61503;76668;64942;72527;61700;63929;62994;67852;65170;0;60816;64740;58555;73031;61531;0;74750;62879;59798;56925;56678;56364;62130;61197;62336;64602;0;55527;56882;54820;68859;0;67924
